31553,7b41,D,OPD Patrol 1,Patrol 1 - West Dispatch,Law Dispatch,Oakland Police,2
31554,7b42,D,OPD Patrol 2,Patrol 2 - Central Dispatch,Law Dispatch,Oakland Police,3
31555,7b43,D,OPD Patrol 3,Patrol 3 - East Dispatch,Law Dispatch,Oakland Police,4
31556,7b44,D,OPD Patrol 4,Patrol 4 - Car-to-Car,Law Tac,Oakland Police,1
31557,7b45,D,OPD Patrol 5,Patrol 5 - Car-to-Car,Law Tac,Oakland Police,5
31558,7b46,D,OPD Serv 1,Service 1,Law Dispatch,Oakland Police,6
31559,7b47,D,OPD Serv 2,Service 2,Law Dispatch,Oakland Police,10
31561,7b49,D,OPD Yth Svcs,Youth Services,Law Tac,Oakland Police,9
31569,7b51,D,OPD Tac 1,Tac 1,Law Tac,Oakland Police,7
31570,7b52,D,OPD Tac 2,Tac 2,Law Tac,Oakland Police,8
31571,7b53,D,OPD Tac 3,Tac 3,Law Tac,Oakland Police,11
31572,7b54,D,OPD Tac 4,Tac 4,Law Tac,Oakland Police,12
31573,7b55,D,OPD Tac 5,Tac 5,Law Tac,Oakland Police,13
31577,7b59,D,OPD Tac 6,Tac 6,Law Tac,Oakland Police,17
31578,7b5a,D,OPD Tac 7,Tac 7,Law Tac,Oakland Police,16
31579,7b5b,D,OPD Tac 8,Tac 8,Law Tac,Oakland Police,15
31580,7b5c,D,OPD Tac 9,Tac 9,Law Tac,Oakland Police,18
31581,7b5d,D,OPD Tac 10,Tac 10,Law Tac,Oakland Police,14
